date;ip;bgp_dbp;bgp_lift;nb_occurrences_dbp;nb_occurrences_lift;rank_dbp;rank_lift;precision;recall
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Chan_Chong_Ming'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Chan_Chong_Ming'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Chan_Chong_Ming'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;1.0;0.3333333333333333
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cb0'))];1;1;1;1;1.0;0.3333333333333333
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0'))];1;1;1;1;1.0;0.3333333333333333
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/San_Pedro_Carch%C3%A1'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/San_Pedro_Carch%C3%A1'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;2646c3cfefd5db516f6ca39b10594e7b;[(rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cbffbd3ce43268ddebab84cf32314a6e2b2d653ffbe12834e05cb696e8896bbfe5')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0')), (rdflib.term.URIRef('http://dbpedia.org/resource/2005_Primera_Divisi%C3%B3n_de_M%C3%A9xico_Apertura'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#long'), rdflib.term.Variable('cbc433b257245e5776401f60ab622f4302a0e9de712d2f6a4dfc59346c35cce3f6'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/San_Pedro_Carch%C3%A1'), rdflib.term.URIRef('http://www.w3.org/2003/01/geo/wgs84_pos#lat'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
