date;ip;bgp_dbp;bgp_lift;nb_occurrences_dbp;nb_occurrences_lift;rank_dbp;rank_lift;precision;recall
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Live_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;1;1
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Morning_Walk'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Live_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Morning_Walk'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;1;1
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Live_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Live_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Live_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;1;1
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Live_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Live_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Morning_Walk'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Live_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Morning_Walk'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Morning_Walk'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Live_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Morning_Walk'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Morning_Walk'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Morning_Walk'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;1;1
2015-10-30T03-00-00;831b617c685f37bfefeba56d9e1a2249;[(rdflib.term.URIRef('http://dbpedia.org/resource/Morning_Walk'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Video_Dead'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('cb0'))];1;1;1;1;0.0;0.0
