date;ip;bgp_dbp;bgp_lift;nb_occurrences_dbp;nb_occurrences_lift;rank_dbp;rank_lift;precision;recall
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];3;1;1;1;0.0;0.0
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Mozambique'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];3;1;1;1;0.0;0.0
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Gibraltar'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];3;1;1;1;0.0;0.0
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];3;1;1;1;1;1
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Jamaica'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];3;1;1;1;0.0;0.0
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Connecticut'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];3;1;1;1;0.0;0.0
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Nepal'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];3;1;1;1;0.0;0.0
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Namibia'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];3;1;1;1;0.0;0.0
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Gibraltar'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];2;1;2;1;0.0;0.0
2015-10-30T03-00-00;8c390a2329b64fdea9b9c782107f064c;[(rdflib.term.URIRef('http://dbpedia.org/resource/Gibraltar'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];[(rdflib.term.URIRef('http://dbpedia.org/resource/Mozambique'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#comment'), rdflib.term.Variable('cb0'))];2;1;2;1;0.0;0.0
